
>>>>>>>>>>>>> Bubble Sort
1088800.0 311200.0 267900.0 300200.0 311400.0 273100.0 371500.0 288700.0 261300.0 169100.0  >>> 250 0.364
346000.0 388400.0 356200.0 357400.0 364200.0 338600.0 356500.0 282300.0 274400.0 274900.0  >>> 500 0.334
587600.0 627600.0 700100.0 579800.0 609800.0 603900.0 555800.0 570600.0 552500.0 733000.0  >>> 750 0.612
1118200.0 1132800.0 1420900.0 1071500.0 956800.0 953300.0 1129300.0 1016400.0 1034800.0 970300.0  >>> 1000 1.080
1787700.0 1684200.0 1731100.0 1811300.0 1684300.0 1475400.0 1452600.0 1422300.0 1443700.0 1471300.0  >>> 1250 1.596
6077900.0 5312100.0 5756800.0 5408300.0 4906000.0 4791600.0 4723600.0 4615300.0 4690700.0 4782300.0  >>> 2500 5.106
12950200.0 13143100.0 11351800.0 12122100.0 11358500.0 12026000.0 12659200.0 12555400.0 12030200.0 13842600.0  >>> 3750 12.404
24569200.0 24335900.0 21722200.0 20942300.0 23164300.0 23007400.0 24317000.0 23817700.0 21409300.0 23701600.0  >>> 5000 23.099
37997500.0 35992500.0 37268800.0 37372100.0 38041100.0 37986700.0 37877900.0 39252200.0 35994200.0 36802400.0  >>> 6250 37.459
55525500.0 54824200.0 55673900.0 59406200.0 58730000.0 54949200.0 54108800.0 55012700.0 56327300.0 54776800.0  >>> 7500 55.933
79475696.0 78746400.0 76623200.0 77226704.0 77417104.0 78728096.0 77726496.0 75651504.0 81216800.0 79190096.0  >>> 8750 78.200
105427200.0 104864200.0 101590200.0 103952496.0 103213600.0 105794896.0 106318800.0 106391400.0 104032704.0 101507904.0  >>> 10000 104.309

>>>>>>>>>>>>> Bubble Sort
153500.0 222200.0 224700.0 157500.0 141200.0 140500.0 202300.0 150000.0 125200.0 150000.0  >>> 100 0.167
1027200.0 193300.0 167900.0 174400.0 181900.0 177200.0 215200.0 185400.0 320900.0 210900.0  >>> 250 0.285
